method,template_dim,gallery_size,template_bytes,gallery_bytes,gallery_gib,evidence_kind
raw,512,1000,2048,2048000,0.0019073486328125,derived
raw,512,100000,2048,204800000,0.19073486328125,derived
raw,512,1000000,2048,2048000000,1.9073486328125,derived
raw,512,150000000,2048,307200000000,286.102294921875,derived
random,128,1000,512,512000,0.000476837158203125,derived
random,128,100000,512,51200000,0.0476837158203125,derived
random,128,1000000,512,512000000,0.476837158203125,derived
random,128,150000000,512,76800000000,71.52557373046875,derived
pca,128,1000,512,512000,0.000476837158203125,derived
pca,128,100000,512,51200000,0.0476837158203125,derived
pca,128,1000000,512,512000000,0.476837158203125,derived
pca,128,150000000,512,76800000000,71.52557373046875,derived
siamese,128,1000,512,512000,0.000476837158203125,derived
siamese,128,100000,512,51200000,0.0476837158203125,derived
siamese,128,1000000,512,512000000,0.476837158203125,derived
siamese,128,150000000,512,76800000000,71.52557373046875,derived
