method,seed,epoch,train_loss,validation_loss,evidence_kind
siamese,11,1.0,0.1102789118885994,0.1032908707857132,observed
siamese,11,2.0,0.09834577036755425,0.10476171225309372,observed
siamese,11,3.0,0.09598915811095919,0.10158611834049225,observed
siamese,11,4.0,0.08961150050163269,0.09757649153470993,observed
siamese,11,5.0,0.08491003939083644,0.09645014256238937,observed
siamese,11,6.0,0.08150672912597656,0.0958217978477478,observed
siamese,11,7.0,0.07707950259957995,0.09408742934465408,observed
siamese,11,8.0,0.0748635402747563,0.09319068491458893,observed
siamese,11,9.0,0.07226666808128357,0.09326717257499695,observed
siamese,11,10.0,0.06970611321074623,0.09251514822244644,observed
siamese,11,11.0,0.06730553241712707,0.09298381954431534,observed
siamese,11,12.0,0.06583114660211972,0.09297600388526917,observed
siamese,11,13.0,0.06317651431475367,0.09240050613880157,observed
siamese,11,14.0,0.061521071408476145,0.09221110492944717,observed
siamese,11,15.0,0.060452916260276525,0.09209887683391571,observed
siamese,11,16.0,0.05843753154788699,0.09280499815940857,observed
siamese,11,17.0,0.0567982303244727,0.09231098741292953,observed
siamese,11,18.0,0.055697281445775716,0.09309007972478867,observed
siamese,11,19.0,0.05442611500620842,0.09316463023424149,observed
siamese,11,20.0,0.05270619424326079,0.09255002439022064,observed
siamese,11,21.0,0.05183125340512821,0.09372305124998093,observed
siamese,11,22.0,0.050210847918476374,0.09302634745836258,observed
siamese,11,23.0,0.04919347645980971,0.093047134578228,observed
siamese,29,1.0,0.11269062863928932,0.10329363495111465,observed
siamese,29,2.0,0.10044847748109273,0.10616524517536163,observed
siamese,29,3.0,0.09816878714731761,0.10421556234359741,observed
siamese,29,4.0,0.09426086928163256,0.09980889409780502,observed
siamese,29,5.0,0.08754707234246391,0.09622664749622345,observed
siamese,29,6.0,0.0836140907236508,0.09554848074913025,observed
siamese,29,7.0,0.08078646446977343,0.09507285058498383,observed
siamese,29,8.0,0.07807704593454089,0.09399040043354034,observed
siamese,29,9.0,0.0742790267935821,0.09306911379098892,observed
siamese,29,10.0,0.07249703896897179,0.09254126250743866,observed
siamese,29,11.0,0.07047259701149804,0.09255751222372055,observed
siamese,29,12.0,0.06830736036811556,0.09244560450315475,observed
siamese,29,13.0,0.06658647315842765,0.09283461421728134,observed
siamese,29,14.0,0.06484910845756531,0.09210832417011261,observed
siamese,29,15.0,0.06358121016195842,0.09217057377099991,observed
siamese,29,16.0,0.061353729771716256,0.09262731671333313,observed
siamese,29,17.0,0.059566288122109005,0.09254958480596542,observed
siamese,29,18.0,0.05790556328637259,0.09222131222486496,observed
siamese,29,19.0,0.05654361950499671,0.09267012029886246,observed
siamese,29,20.0,0.055487909487315586,0.09229601919651031,observed
siamese,29,21.0,0.053957423461335044,0.09228137880563736,observed
siamese,29,22.0,0.052502659282514026,0.0932966098189354,observed
siamese,47,1.0,0.11776757772479739,0.10335783660411835,observed
siamese,47,2.0,0.09979043049471718,0.10650257766246796,observed
siamese,47,3.0,0.10058416106871196,0.10500185936689377,observed
siamese,47,4.0,0.09528103470802307,0.10067670047283173,observed
siamese,47,5.0,0.08984374787126269,0.0969749242067337,observed
siamese,47,6.0,0.08437908866575786,0.0960911363363266,observed
siamese,47,7.0,0.08184044808149338,0.09596644341945648,observed
siamese,47,8.0,0.07848723871367318,0.09441991150379181,observed
siamese,47,9.0,0.07567127261843,0.09329793602228165,observed
siamese,47,10.0,0.0739571281841823,0.09269793331623077,observed
siamese,47,11.0,0.07119685730763844,0.0927031859755516,observed
siamese,47,12.0,0.06924462850604739,0.09276754409074783,observed
siamese,47,13.0,0.06755930717502322,0.09273230284452438,observed
siamese,47,14.0,0.06573066328253065,0.09196529537439346,observed
siamese,47,15.0,0.06450858392885753,0.09212161600589752,observed
siamese,47,16.0,0.06269312596746854,0.0925312414765358,observed
siamese,47,17.0,0.060760880155222755,0.09296683222055435,observed
siamese,47,18.0,0.06042974016496113,0.091707743704319,observed
siamese,47,19.0,0.05865302149738584,0.09206031262874603,observed
siamese,47,20.0,0.05698830847229276,0.09202992916107178,observed
siamese,47,21.0,0.05567622823374612,0.09226901084184647,observed
siamese,47,22.0,0.05442134450588908,0.09241156280040741,observed
siamese,47,23.0,0.05314288501228605,0.09244183450937271,observed
siamese,47,24.0,0.05173049122095108,0.0929274708032608,observed
siamese,47,25.0,0.05113014259508678,0.09251800924539566,observed
siamese,47,26.0,0.04975003216947828,0.09351591765880585,observed
siamese,71,1.0,0.11468629539012909,0.10268738865852356,observed
siamese,71,2.0,0.0986437276005745,0.10561826080083847,observed
siamese,71,3.0,0.09942796719925744,0.10410957783460617,observed
siamese,71,4.0,0.09467502257653646,0.10006696730852127,observed
siamese,71,5.0,0.08824928849935532,0.09647633135318756,observed
siamese,71,6.0,0.08359537486519132,0.09569676965475082,observed
siamese,71,7.0,0.0810789806502206,0.09549159556627274,observed
siamese,71,8.0,0.07875636432852064,0.09422139078378677,observed
siamese,71,9.0,0.07537934290511268,0.09299168735742569,observed
siamese,71,10.0,0.0737289445740836,0.09241104871034622,observed
siamese,71,11.0,0.07102948533637184,0.09245869517326355,observed
siamese,71,12.0,0.06875608009951455,0.09259837120771408,observed
siamese,71,13.0,0.0670853118811335,0.09267079830169678,observed
siamese,71,14.0,0.06478622715388026,0.0917370468378067,observed
siamese,71,15.0,0.06422485251511846,0.09119421988725662,observed
siamese,71,16.0,0.06230335310101509,0.09231024235486984,observed
siamese,71,17.0,0.059913559151547294,0.0918380618095398,observed
siamese,71,18.0,0.05862733455640929,0.0920327827334404,observed
siamese,71,19.0,0.0575926128242697,0.09224683046340942,observed
siamese,71,20.0,0.05625101977160999,0.09216885268688202,observed
siamese,71,21.0,0.054700070193835666,0.09264639019966125,observed
siamese,71,22.0,0.05415057497365134,0.09223334491252899,observed
siamese,71,23.0,0.052553890006882806,0.09241282939910889,observed
siamese,101,1.0,0.11379179464919227,0.1029299944639206,observed
siamese,101,2.0,0.0997240777526583,0.10577172040939331,observed
siamese,101,3.0,0.09811465016433171,0.10379651933908463,observed
siamese,101,4.0,0.09300122516495841,0.09951489418745041,observed
siamese,101,5.0,0.08770590488399778,0.09649462252855301,observed
siamese,101,6.0,0.08344309564147677,0.09614593535661697,observed
siamese,101,7.0,0.08149541169404984,0.09568585455417633,observed
siamese,101,8.0,0.07811144313641957,0.09369802474975586,observed
siamese,101,9.0,0.07489162257739476,0.0929042398929596,observed
siamese,101,10.0,0.07238861386265073,0.09257993847131729,observed
siamese,101,11.0,0.07023125141859055,0.09244842827320099,observed
siamese,101,12.0,0.06810145399400166,0.09235202521085739,observed
siamese,101,13.0,0.06672261974641255,0.09171181172132492,observed
siamese,101,14.0,0.06439219521624702,0.0928293839097023,observed
siamese,101,15.0,0.06295071116515569,0.09222013503313065,observed
siamese,101,16.0,0.061200838536024094,0.09177052974700928,observed
siamese,101,17.0,0.060007818575416295,0.09217317402362823,observed
siamese,101,18.0,0.058654431253671646,0.09272335469722748,observed
siamese,101,19.0,0.056784516998699734,0.09257344156503677,observed
siamese,101,20.0,0.055612297994749885,0.09150779992341995,observed
siamese,101,21.0,0.054562296718358994,0.09308583289384842,observed
siamese,101,22.0,0.052778477647474835,0.09285880625247955,observed
siamese,101,23.0,0.051999998944146295,0.09230218082666397,observed
siamese,101,24.0,0.0502757371536323,0.0931304544210434,observed
siamese,101,25.0,0.04946912505796978,0.09301654994487762,observed
siamese,101,26.0,0.048542621944631846,0.09415841847658157,observed
siamese,101,27.0,0.04716104002935546,0.09229112416505814,observed
siamese,101,28.0,0.04650931539280074,0.09403561800718307,observed
